id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,px_area,sc_area,price_range
118,1084,1,2.6,0,3,1,40,0.9,107,3,11,1945,10,1,1,0,248262,60,1
119,1308,0,1.3,1,8,0,46,0.9,199,1,12,488,9,0,1,0,271975,15,0
120,1778,0,0.5,0,0,0,15,0.5,102,3,0,1214,14,1,0,0,2823530,0,1
121,1701,1,1.6,1,3,0,10,0.3,194,8,7,2598,6,0,1,0,735900,108,2
122,772,1,2.4,1,1,1,10,0.5,80,4,2,3242,4,1,1,0,2126304,198,3
123,825,1,0.5,1,7,0,52,0.9,130,3,10,3534,6,0,1,0,515211,40,3
124,1379,0,1.1,0,5,1,36,0.8,200,2,7,3426,17,1,1,1,740288,20,3
125,1166,0,2.0,0,3,1,25,0.8,198,5,4,2488,15,1,0,0,70977,65,2
126,1659,0,2.8,0,5,0,16,0.6,89,1,20,3255,9,0,0,1,738738,266,3
127,826,1,2.4,1,0,1,58,0.3,88,4,1,2863,18,1,0,1,140694,27,2
128,1564,0,2.3,0,4,1,25,0.5,189,6,17,1496,7,1,1,1,2473935,24,1
129,1957,0,0.9,1,11,0,31,0.6,181,3,16,3801,7,1,0,1,685872,0,3
130,1571,0,1.4,0,0,1,19,0.1,100,6,1,666,13,1,1,0,996774,120,0
131,1414,0,2.0,1,2,0,54,0.8,99,7,3,3799,7,1,0,1,217198,119,3
132,1790,0,2.5,1,9,0,2,0.1,184,1,14,1366,20,1,1,1,492624,0,1
133,645,0,0.5,0,1,0,41,1.0,197,7,10,2962,4,1,1,1,189660,108,2
134,668,0,2.9,1,7,0,30,0.2,195,8,12,2399,7,1,1,1,551232,50,1
135,1652,1,1.1,1,1,0,36,0.7,89,4,5,2338,20,0,0,0,395632,96,2
136,1213,1,0.5,0,0,0,16,0.5,108,5,0,2700,9,0,0,1,282048,36,2
137,1272,1,2.5,1,0,0,22,0.9,133,6,8,2235,4,1,0,0,404745,76,1
138,866,0,0.5,1,5,1,46,0.5,179,8,7,3825,2,1,1,1,1166712,132,3
139,536,0,2.4,1,12,1,3,0.3,182,7,14,284,4,1,1,0,2133054,108,0
140,523,0,2.6,1,1,0,14,0.1,155,8,2,1427,9,0,1,0,316768,9,0
141,1753,0,0.5,1,0,1,31,0.1,134,1,18,1324,17,1,0,1,3062340,0,2
142,1218,0,1.8,1,1,1,14,0.5,147,3,4,398,5,1,0,0,141064,0,0
143,1537,1,2.5,0,4,1,43,0.3,137,1,5,3685,17,1,1,1,948909,306,3
144,786,0,2.2,1,0,0,33,0.5,141,7,6,2390,5,1,0,1,860379,132,2
145,1678,0,2.1,0,3,1,64,0.9,134,3,11,278,10,1,1,0,233696,0,0
146,1814,0,1.4,1,1,1,9,0.4,141,2,2,3556,16,1,0,0,594216,216,3
147,1101,0,1.8,0,0,0,31,0.2,148,2,7,2196,19,0,1,1,491103,72,1
148,1461,0,2.4,1,3,1,40,0.5,141,7,4,3799,4,1,0,0,1641970,16,3
149,1216,0,3.0,0,4,0,47,0.4,199,3,7,2268,4,0,1,1,3642884,65,2
150,506,0,1.6,0,6,1,41,0.8,159,1,7,2965,15,1,0,0,896875,130,2
151,843,1,0.5,0,1,1,56,0.1,147,5,17,2341,20,1,1,1,112000,10,1
152,742,0,2.2,1,4,0,56,0.2,190,7,14,3557,12,0,1,1,784143,176,3
153,1692,1,2.1,0,3,1,61,0.9,176,6,12,1354,19,1,0,0,1946100,112,1
154,1485,0,1.0,0,2,1,32,0.7,84,2,9,2147,11,1,1,0,516630,19,2
155,1547,0,2.9,1,6,0,45,0.7,166,2,8,505,3,0,1,1,343970,24,0
156,1692,0,2.3,1,4,1,46,0.9,139,1,6,1394,6,1,1,0,1297450,160,1
157,637,0,2.3,0,3,1,60,0.8,97,4,4,374,8,1,0,1,2237625,72,0
158,1224,0,0.5,0,16,1,6,0.4,109,6,18,506,11,1,1,1,617022,0,0
159,1356,0,2.8,0,0,0,29,0.5,198,6,0,3702,19,0,0,0,3196596,0,3
160,1840,0,0.5,1,12,0,34,0.7,142,1,16,1078,10,0,0,0,480495,0,1
161,1481,1,0.7,1,4,1,37,0.6,96,5,13,2945,16,1,1,1,177828,50,2
162,961,1,1.5,1,10,0,51,0.3,152,6,16,2981,7,1,1,1,344034,90,2
163,1296,0,0.9,1,0,1,14,0.5,124,5,3,490,4,1,1,1,1031592,7,0
164,1193,0,0.9,0,11,0,26,0.5,166,1,20,536,4,1,0,1,1262170,238,0
165,1441,0,2.1,1,11,1,3,0.1,118,8,17,2317,7,1,0,1,617967,64,2
166,517,0,1.4,1,3,1,33,0.8,183,4,8,3704,11,1,0,1,642840,272,3
167,748,1,1.7,0,0,1,27,0.9,150,8,4,2126,7,1,0,0,699300,162,1
168,1126,1,2.4,0,2,1,10,0.4,160,6,3,2050,12,1,1,1,1970253,42,2
169,1572,0,0.6,0,0,1,58,0.2,157,7,8,2462,10,1,0,0,2148133,96,3
170,1569,0,2.8,1,17,0,44,0.3,110,4,20,1260,17,1,0,0,87390,18,1
171,1270,1,0.6,1,2,1,32,0.5,101,7,6,3770,13,1,1,0,252655,15,3
172,1854,0,3.0,0,2,1,8,0.1,101,5,5,1886,20,1,1,0,317262,68,1
173,625,1,1.2,1,5,1,10,0.2,183,4,8,3323,7,1,1,1,534670,9,2
174,1577,0,0.5,1,0,1,42,0.3,197,5,4,2060,12,1,0,0,1815165,114,2
175,534,0,0.5,1,0,1,16,1.0,189,5,1,3926,20,1,0,0,471207,192,3
176,946,0,1.7,1,8,1,25,0.8,143,6,15,2177,13,1,1,1,1131000,35,2
177,685,0,0.5,0,2,0,29,0.8,93,7,10,728,4,0,0,1,280584,112,0
178,1949,0,1.3,1,0,0,23,0.1,101,5,1,2478,20,1,0,0,953104,112,3
179,947,0,0.8,1,0,1,22,0.1,197,2,13,2842,2,1,0,0,1434720,192,2
180,801,1,2.2,1,2,0,63,0.4,165,7,4,1617,19,0,0,1,571350,68,1
181,703,1,2.7,0,12,1,30,0.3,113,1,20,1472,7,1,0,0,232170,98,0
182,1165,1,2.4,0,11,0,41,0.2,178,6,12,764,15,1,0,0,468684,228,0
183,1082,0,0.8,0,0,0,38,0.1,198,8,5,2337,17,0,1,1,1174326,6,2
184,959,1,2.6,1,15,0,20,1.0,84,4,19,3965,6,1,0,0,914991,16,3
185,1502,1,1.2,0,0,0,54,0.2,138,5,12,3693,16,1,1,0,38220,238,3
186,1380,1,2.1,1,1,1,4,0.8,92,3,13,797,15,1,1,0,210000,26,0
187,1266,0,0.5,0,0,1,5,0.1,95,6,9,1687,18,1,0,0,2317770,0,2
188,1934,1,2.6,1,0,1,46,0.1,103,1,17,2940,2,1,1,1,804081,117,3
189,1905,1,0.5,0,3,1,6,0.5,151,1,5,1545,10,1,1,0,762402,45,1
190,1831,0,1.4,1,2,0,43,0.9,150,5,5,3834,13,1,1,1,843791,119,3
191,596,0,1.4,0,8,0,46,0.6,165,1,18,2505,15,1,1,0,937752,60,1
192,1562,1,1.3,1,1,1,7,0.2,190,5,15,2243,6,1,0,0,984186,120,2
193,1490,1,0.5,1,4,1,64,0.3,150,8,8,3600,7,1,1,1,2074488,153,3
194,1523,1,2.4,0,5,1,57,0.2,117,2,6,3971,10,1,1,1,133133,216,3
195,640,0,0.6,0,0,0,20,0.1,163,4,15,2844,18,1,1,0,837090,35,2
196,1526,0,2.1,0,1,1,23,0.2,117,7,8,2227,3,1,1,0,539218,180,2
197,1989,0,2.5,1,0,1,41,0.8,94,3,13,1665,12,1,1,1,1646700,153,2
198,1308,0,1.9,0,0,1,61,0.7,106,3,7,3355,4,1,0,1,71685,30,3
199,609,0,0.5,0,3,0,26,0.3,93,4,4,1866,14,1,1,1,1827224,110,1
200,1905,0,0.6,1,9,1,36,0.4,119,3,20,1287,16,1,0,0,1272150,52,1
201,1703,1,0.5,0,0,1,22,0.6,192,1,0,1046,13,1,0,1,353210,20,0
202,1445,1,2.4,1,7,1,20,0.4,173,7,15,1441,13,1,1,1,1712185,28,1
203,1087,0,1.3,0,0,1,16,0.3,166,3,9,690,6,1,0,1,173755,84,0
204,671,0,0.9,1,10,0,30,0.7,105,7,17,2504,15,1,0,0,1007064,24,2
205,1472,1,2.3,0,6,0,61,0.1,168,6,19,2677,8,1,0,0,746920,285,2
206,765,0,0.5,1,0,1,47,0.3,115,8,1,2243,4,1,0,1,1824833,77,2
207,1642,0,0.5,1,16,1,8,0.3,171,6,17,2984,17,1,0,1,112617,52,2
208,1265,0,1.5,0,7,0,49,0.7,182,5,16,1362,12,0,0,1,576840,0,1
209,664,1,1.1,1,1,1,51,0.1,110,7,4,3629,6,1,1,1,1036078,285,3
210,1277,1,0.5,1,0,1,35,0.4,142,6,6,3559,6,1,1,0,451140,306,3
211,1395,0,1.8,1,0,0,23,0.1,111,3,1,2571,13,1,0,1,150165,0,2
212,1539,1,2.6,0,0,0,41,0.1,159,8,0,2107,10,1,0,1,1852592,135,2
213,1049,1,2.2,0,9,0,63,0.5,135,5,17,1022,13,0,0,0,214323,33,0
214,1827,0,1.7,0,4,1,39,0.5,128,5,16,2844,10,1,1,0,56100,126,2
215,903,0,1.0,1,0,1,50,0.4,91,1,0,711,10,1,1,0,1519050,45,0
216,1987,1,0.5,0,3,1,53,1.0,181,3,7,3117,8,1,1,1,1594832,90,3
217,1154,0,1.2,1,0,1,49,0.2,181,8,2,978,7,1,0,1,810959,15,0
218,1336,0,0.9,0,5,1,17,0.2,194,5,9,1869,16,1,1,1,32065,13,1
219,1886,0,0.5,0,0,1,24,0.4,112,3,1,1179,20,1,0,1,1584022,112,1
220,1551,0,1.1,0,4,0,51,0.1,88,5,6,3844,4,0,1,0,3467310,88,3
221,850,1,1.6,1,6,1,29,0.5,133,5,19,593,10,1,0,1,259368,323,0
222,660,0,0.5,0,5,1,40,0.5,111,2,10,588,18,1,1,1,308636,30,0
223,1225,1,2.1,1,8,0,13,0.5,116,4,12,3836,11,0,0,0,1065636,132,3
224,1452,1,0.5,1,1,1,25,0.9,123,6,11,2669,13,1,0,0,43680,120,2
225,1686,1,2.8,1,3,0,38,0.1,166,4,4,2958,2,0,0,0,576841,154,3
226,1634,1,1.4,0,1,1,17,0.2,200,2,5,3031,6,1,1,1,1616628,66,3
227,1708,1,2.4,1,18,1,49,0.1,109,1,19,3388,16,1,1,1,120461,24,3
228,1151,1,2.9,1,0,0,31,0.6,128,8,1,2377,13,0,1,0,1594320,144,2
229,1578,0,1.9,1,2,1,37,0.1,138,4,19,2458,3,1,0,1,503886,304,2
230,1689,0,1.8,0,17,0,24,0.3,127,3,18,2766,7,0,1,1,1144800,14,3
231,1488,0,0.5,0,1,0,39,0.8,112,5,6,3054,19,0,0,0,2516616,140,3
232,1313,1,1.8,1,4,0,9,0.4,105,1,6,3791,6,0,1,1,544128,110,3
233,1715,0,1.0,1,4,1,31,0.5,83,8,17,625,13,1,0,0,1030370,102,0
234,1442,0,1.0,1,0,0,27,0.1,192,3,19,2227,20,1,1,0,158697,30,1
235,528,0,1.7,0,12,1,6,0.8,142,2,15,3256,6,1,1,0,365638,72,2
236,1523,1,1.8,0,6,1,11,0.1,129,1,8,707,19,1,1,0,237688,152,0
237,1133,0,1.4,0,3,0,42,0.1,199,5,12,1457,20,1,0,1,1126390,216,1
238,1718,1,2.5,1,14,1,6,0.1,183,5,16,3755,8,1,1,1,552720,7,3
239,1330,0,0.5,0,0,0,38,1.0,183,7,1,1733,11,1,0,1,1858890,0,1
240,1799,1,0.5,0,0,0,49,0.4,107,4,2,720,11,1,1,1,874056,24,0
241,633,1,2.2,0,0,1,49,0.1,139,8,1,3560,16,1,1,1,533761,11,2
242,724,0,2.7,1,0,0,44,0.5,187,7,0,2311,7,1,0,0,2232842,42,2
243,822,1,0.5,0,0,1,51,0.3,157,6,20,3846,3,1,0,0,573620,10,3
244,1918,0,1.9,0,2,0,10,0.6,110,5,10,1717,16,1,1,1,1805310,7,2
245,1891,0,2.8,0,7,1,37,0.4,129,7,14,3704,11,1,0,0,187252,48,3
246,1373,1,1.0,1,2,0,50,0.2,127,7,12,3800,14,1,0,0,70665,24,3
247,862,1,0.8,1,3,0,23,0.4,165,2,15,278,11,0,0,1,1394094,48,0
248,1273,0,1.0,0,3,1,48,0.4,99,4,15,1767,11,1,1,0,434140,270,1
249,957,1,2.5,0,4,0,7,0.8,107,5,10,1846,7,1,0,1,1783485,60,1
250,1617,1,1.3,1,3,1,30,0.7,105,2,4,829,10,1,0,0,255348,0,0
251,893,0,2.5,1,0,0,55,0.6,183,2,1,2986,6,0,1,1,394482,7,2
252,1210,0,0.5,0,0,0,63,0.1,93,5,0,2394,7,0,0,0,1720774,153,2
253,708,1,2.7,1,0,1,63,1.0,195,8,7,2169,7,1,1,1,51012,30,1
254,835,0,1.1,1,2,0,7,0.2,101,4,7,1181,15,1,1,1,518092,65,0
255,1450,1,2.7,1,9,0,19,0.6,131,1,17,575,12,0,0,0,1330574,135,0
256,973,1,1.5,0,5,1,57,0.2,190,7,16,2977,2,1,0,0,829912,24,2
257,601,1,1.4,0,4,1,4,0.1,154,4,13,532,10,1,1,1,272340,96,0
258,507,1,0.5,1,1,0,32,0.5,141,7,11,1702,5,1,1,1,1308528,0,1
259,564,0,1.8,1,0,1,51,0.5,168,3,1,1074,15,1,1,0,1805760,112,0
260,1559,1,1.6,1,6,1,6,0.5,162,6,17,3352,3,1,1,1,279061,9,3
261,754,0,0.5,1,7,1,59,0.7,178,7,10,1027,5,1,0,0,3690192,18,1
262,728,0,2.7,1,0,0,25,0.2,88,4,1,2039,12,1,1,1,804254,5,1
263,1431,1,0.5,0,0,1,56,0.6,191,1,1,461,8,1,0,0,148512,21,0
264,767,0,1.5,0,4,0,28,0.7,175,4,10,527,15,0,1,0,521848,0,0
265,1722,0,2.6,0,8,0,18,0.8,177,2,16,3271,15,1,0,1,1505965,0,3
266,1992,1,1.6,0,5,1,57,1.0,100,2,15,606,4,1,1,1,2476992,27,1
267,1876,0,0.5,0,10,1,40,0.3,86,6,14,2513,16,1,1,0,853944,80,3
268,1054,0,1.1,1,10,1,38,0.4,136,6,12,1675,14,1,1,1,1340534,72,1
269,1283,1,1.6,1,4,0,47,0.9,93,5,5,2698,17,1,1,0,257424,54,2
270,1281,1,2.3,1,0,0,28,0.3,148,1,6,1129,6,0,1,0,2077845,12,1
271,1066,0,0.6,0,2,1,7,0.9,114,7,18,468,6,1,1,0,1951182,247,0
272,730,0,2.1,1,0,1,4,0.1,89,8,2,1210,4,1,1,1,376594,285,0
273,1053,1,0.8,1,7,1,45,0.3,103,1,12,3086,5,1,1,1,1049598,102,3
274,1611,1,0.5,1,11,0,3,0.6,98,3,14,1595,9,1,0,1,216342,32,1
275,793,0,1.0,1,5,1,30,0.9,133,2,15,2332,14,1,1,1,3595230,221,2
276,1220,0,2.9,0,3,0,62,0.5,125,4,8,2589,15,1,1,1,778999,209,2
277,1662,0,0.5,0,0,1,61,0.8,126,4,13,3760,13,1,1,1,48288,45,3
278,1281,1,2.8,1,3,1,8,0.3,144,4,19,1851,9,1,1,0,562860,16,1
279,538,0,0.8,0,12,1,2,0.8,177,7,13,417,9,1,0,1,155570,32,0
280,823,1,0.5,0,0,0,39,0.4,187,8,4,294,11,0,0,1,559440,117,0
281,1733,1,2.8,0,3,1,36,1.0,119,6,20,3576,9,1,0,0,188139,272,3
282,1429,0,1.5,1,0,1,40,0.9,100,3,14,3945,18,1,0,1,201720,77,3
283,1839,1,1.2,0,9,1,54,0.5,200,7,11,927,18,1,0,1,709175,190,1
284,659,0,2.7,0,6,1,6,0.5,110,3,7,2044,2,1,0,1,2033166,75,1
285,1953,1,2.1,1,7,0,56,0.1,158,8,9,2334,4,1,0,0,424020,55,2
286,1172,0,1.9,0,0,1,27,0.7,164,1,3,1477,6,1,0,0,662844,0,1
287,612,1,1.9,1,6,0,16,0.3,102,7,7,3161,3,0,0,0,2571760,32,3
288,1563,0,2.4,0,0,1,24,0.2,170,8,0,3660,5,1,1,0,241258,35,3
289,1191,0,1.3,1,16,1,26,0.8,84,1,20,1604,9,1,0,1,465123,42,1
290,615,1,0.5,1,0,0,42,0.6,163,6,4,2211,18,0,0,1,173056,28,1
291,1893,1,2.1,1,8,0,63,0.2,134,2,11,3822,18,0,1,1,486031,42,3
292,1563,0,1.7,1,10,0,16,0.1,151,7,13,3922,8,0,0,1,234520,11,3
293,1995,1,1.9,0,6,0,9,0.8,139,6,18,1203,18,1,1,1,3592290,168,2
294,1517,0,0.5,0,6,1,48,0.6,143,5,14,2822,11,1,1,1,1194178,75,3
295,832,0,1.6,1,1,1,34,0.3,108,5,5,447,12,1,1,0,402434,195,0
